Occupation Title,Typical Entry-Level Education,Occupation Code,Employment 2020,Employment 2030,"Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average",Median Annual Wage 2020,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
Chief executives    * CEO* COO* Chief Executive Officer* Chief Operating Officer* Commissioner of Internal Revenue* County Commissioner* Government Service Executive* Governor* Mayor,Bachelor's degree,11-1011,292.5,275.7,-16.8,-5.7,17.5,"185,950",3,5 years or more,1,None,6
General and operations managers    * Department Store General Manager* General Manager* General Superintendent* Manufacturing Operations Manager* Operations Manager* Radio Station Manager* Television Station Manager,Bachelor's degree,11-1021,"2,411.90","2,638.20",226.3,9.4,229.6,"103,650",3,5 years or more,1,None,6
Legislators    * City Alderman* City Council Member* Congressional Representative* Councilor* Legislator* Member of Congress* Selectman* Senator* Tribal Council Member,Bachelor's degree,11-1031,52.2,56.1,4,7.6,4.3,"33,200",3,Less than 5 years,2,None,6
Advertising and promotions managers    * Advertising Director* Advertising Executive* Advertising Manager* Classified Advertising Manager* Promotion Manager* Promotions Director* VP Advertising* VP Promotions,Bachelor's degree,11-2011,23.2,25.6,2.4,10.3,2.5,"133,460",3,Less than 5 years,2,None,6
Marketing managers    * Internet Marketing Manager* Marketing Administrator* Marketing Director* VP Marketing,Bachelor's degree,11-2021,293.7,323.1,29.4,10,28.5,"142,170",3,5 years or more,1,None,6
Sales managers    * District Sales Manager* E-Commerce Director* Export Manager* Regional Sales Manager* Sales Account Manager* Sales Director* Territory Sales Manager,Bachelor's degree,11-2022,397.9,425.8,27.9,7,37,"132,290",3,Less than 5 years,2,None,6
Public relations and fundraising managers,Bachelor's degree,11-2030,89,100.3,11.3,12.6,8.9,"118,430",3,5 years or more,1,None,6
Administrative services and facilities managers,Bachelor's degree,11-3010,322,350.5,28.6,8.9,29.2,"98,890",3,Less than 5 years,2,None,6
Computer and information systems managers    * Application Development Director* Chief Technology Officer* Computer Operations Manager* Computer Security Manager* Data Operations Director* Data Processing Manager* Information Systems Director* Information Systems Manager* Information Technology Director* Information Technology Systems Director* Internet Technology Manager* MIS Director* Management Information Systems Director,Bachelor's degree,11-3021,482,534.6,52.7,10.9,42.4,"151,150",3,5 years or more,1,None,6
Financial managers    * Banking Center Manager* Banking Manager* City Comptroller* City Treasurer* Comptroller* Credit Manager* Financial Director* Financial Officer* Fiscal Manager* International Bank Manager* Residential Mortgage Manager,Bachelor's degree,11-3031,681.7,799.9,118.2,17.3,64.2,"134,180",3,5 years or more,1,None,6
Industrial production managers    * Industrial Production Manager* Manufacturing Director* Plant Chief* Plant Manager* Plant Superintendent* Production Control Manager,Bachelor's degree,11-3051,189.3,199.3,10,5.3,13.9,"108,790",3,5 years or more,1,None,6
Purchasing managers    * Contract Administrator* Contracting Manager* Director of Strategic Sourcing* Procurement Manager* Purchasing Director* Purchasing Manager* Sourcing Manager,Bachelor's degree,11-3061,74.4,79,4.6,6.1,6.3,"125,940",3,5 years or more,1,None,6
"Transportation, storage, and distribution managers    * Airport Manager* Cold Storage Supervisor* Distribution Center Manager* Logistics Manager* Logistics Supply Officer* Marine Oil Terminal Superintendent* Traffic Safety Administrator* Transportation Manager* Warehouse Manager* Warehouse Operations Manager",High school diploma or equivalent,11-3071,137.6,149,11.4,8.3,11.8,"96,390",7,5 years or more,1,None,6
